"No.","Time","Source","Destination","Length","Info","Value"
"1181","175.364839","(Galaxy Note10+)","(LEGO Mario_g_g)","18","Sent Write Command, Handle: 0x0012","060022040000"
"1182","175.365565","(LEGO Mario_g_g)","(Galaxy Note10+)","22","Rcvd Handle Value Notification, Handle: 0x0012","0a004406018001010400"
"1183","175.414596","(Galaxy Note10+)","(LEGO Mario_g_g)","18","Sent Write Command, Handle: 0x0012","060022040001"
"1185","175.425602","(LEGO Mario_g_g)","(Galaxy Note10+)","29","Rcvd Handle Value Notification, Handle: 0x0012","1100440400004576656e74730000000000"
"1186","175.455186","(LEGO Mario_g_g)","(Galaxy Note10+)","26","Rcvd Handle Value Notification, Handle: 0x0012","0e00440400010000000000ff7f47"
"1187","175.464203","(Galaxy Note10+)","(LEGO Mario_g_g)","18","Sent Write Command, Handle: 0x0012","060022040002"
"1188","175.514584","(Galaxy Note10+)","(LEGO Mario_g_g)","18","Sent Write Command, Handle: 0x0012","060022040003"
"1189","175.515563","(LEGO Mario_g_g)","(Galaxy Note10+)","26","Rcvd Handle Value Notification, Handle: 0x0012","0e0044040002000000000000c842"
"1191","175.564748","(Galaxy Note10+)","(LEGO Mario_g_g)","18","Sent Write Command, Handle: 0x0012","060022040004"
"1192","175.575843","(LEGO Mario_g_g)","(Galaxy Note10+)","26","Rcvd Handle Value Notification, Handle: 0x0012","0e00440400030000000000ff7f47"
"1193","175.605411","(LEGO Mario_g_g)","(Galaxy Note10+)","22","Rcvd Handle Value Notification, Handle: 0x0012","0a00440400046e610000"
"1194","175.615031","(Galaxy Note10+)","(LEGO Mario_g_g)","18","Sent Write Command, Handle: 0x0012","060022040005"
"1196","175.664713","(Galaxy Note10+)","(LEGO Mario_g_g)","18","Sent Write Command, Handle: 0x0012","060022040080"
"1197","175.665814","(LEGO Mario_g_g)","(Galaxy Note10+)","20","Rcvd Handle Value Notification, Handle: 0x0012","0800440400058484"
"1198","175.724933","(LEGO Mario_g_g)","(Galaxy Note10+)","22","Rcvd Handle Value Notification, Handle: 0x0012","0a004404008002010500"
"1199","175.739894","(Galaxy Note10+)","(LEGO Mario_g_g)","22","Sent Write Command, Handle: 0x0012","0a004104000100000001"
"1201","175.785332","(LEGO Mario_g_g)","(Galaxy Note10+)","22","Rcvd Handle Value Notification, Handle: 0x0012","0a004704000100000001"
"1213","181.095677","(LEGO Mario_g_g)","(Galaxy Note10+)","18","Rcvd Handle Value Notification, Handle: 0x0012","060001020601"
"1214","181.305358","(LEGO Mario_g_g)","(Galaxy Note10+)","18","Rcvd Handle Value Notification, Handle: 0x0012","060001020600"
"1222","181.484767","(LEGO Mario_g_g)","(Galaxy Note10+)","18","Rcvd Handle Value Notification, Handle: 0x0012","060001060637"
"1225","181.815525","(LEGO Mario_g_g)","(Galaxy Note10+)","18","Rcvd Handle Value Notification, Handle: 0x0012","060001060633"
"1235","182.985280","(LEGO Mario_g_g)","(Galaxy Note10+)","18","Rcvd Handle Value Notification, Handle: 0x0012","060001060638"
"1280","187.275001","(LEGO Mario_g_g)","(Galaxy Note10+)","18","Rcvd Handle Value Notification, Handle: 0x0012","06000106063c"
"1316","190.755585","(LEGO Mario_g_g)","(Galaxy Note10+)","18","Rcvd Handle Value Notification, Handle: 0x0012","060001060642"
"1324","191.235628","(LEGO Mario_g_g)","(Galaxy Note10+)","18","Rcvd Handle Value Notification, Handle: 0x0012","060001060646"
"1388","198.825686","(LEGO Mario_g_g)","(Galaxy Note10+)","18","Rcvd Handle Value Notification, Handle: 0x0012","060001060642"
"1391","199.335370","(LEGO Mario_g_g)","(Galaxy Note10+)","18","Rcvd Handle Value Notification, Handle: 0x0012","06000106063d"
"1450","205.785968","(LEGO Mario_g_g)","(Galaxy Note10+)","18","Rcvd Handle Value Notification, Handle: 0x0012","060001060639"
"1512","213.376584","(LEGO Mario_g_g)","(Galaxy Note10+)","18","Rcvd Handle Value Notification, Handle: 0x0012","06000106063d"
"1556","220.125890","(LEGO Mario_g_g)","(Galaxy Note10+)","18","Rcvd Handle Value Notification, Handle: 0x0012","060001060639"
"1674","235.336626","(LEGO Mario_g_g)","(Galaxy Note10+)","18","Rcvd Handle Value Notification, Handle: 0x0012","06000106063d"
"1695","237.977466","(LEGO Mario_g_g)","(Galaxy Note10+)","18","Rcvd Handle Value Notification, Handle: 0x0012","060001060639"
"2011","284.207499","(LEGO Mario_g_g)","(Galaxy Note10+)","18","Rcvd Handle Value Notification, Handle: 0x0012","06000106063d"
"2017","284.868331","(LEGO Mario_g_g)","(Galaxy Note10+)","18","Rcvd Handle Value Notification, Handle: 0x0012","060001060639"
"2126","303.677528","(LEGO Mario_g_g)","(Galaxy Note10+)","18","Rcvd Handle Value Notification, Handle: 0x0012","06000106063d"
"2131","304.187132","(LEGO Mario_g_g)","(Galaxy Note10+)","18","Rcvd Handle Value Notification, Handle: 0x0012","060001060642"
"2191","313.578338","(LEGO Mario_g_g)","(Galaxy Note10+)","18","Rcvd Handle Value Notification, Handle: 0x0012","06000106063b"
"2239","322.337642","(LEGO Mario_g_g)","(Galaxy Note10+)","18","Rcvd Handle Value Notification, Handle: 0x0012","060001060637"
"2302","331.908117","(LEGO Mario_g_g)","(Galaxy Note10+)","18","Rcvd Handle Value Notification, Handle: 0x0012","060001060633"
"2306","332.538214","(LEGO Mario_g_g)","(Galaxy Note10+)","18","Rcvd Handle Value Notification, Handle: 0x0012","060001020601"
"2307","332.778536","(LEGO Mario_g_g)","(Galaxy Note10+)","18","Rcvd Handle Value Notification, Handle: 0x0012","060001020600"
"2315","333.078164","(LEGO Mario_g_g)","(Galaxy Note10+)","18","Rcvd Handle Value Notification, Handle: 0x0012","06000106062e"
"2316","333.228308","(LEGO Mario_g_g)","(Galaxy Note10+)","18","Rcvd Handle Value Notification, Handle: 0x0012","06000106062a"
"2317","333.409756","(LEGO Mario_g_g)","(Galaxy Note10+)","18","Rcvd Handle Value Notification, Handle: 0x0012","06000106062f"
"2324","334.548039","(LEGO Mario_g_g)","(Galaxy Note10+)","18","Rcvd Handle Value Notification, Handle: 0x0012","060001060633"
"2355","337.367844","(LEGO Mario_g_g)","(Galaxy Note10+)","18","Rcvd Handle Value Notification, Handle: 0x0012","060001060638"
"2395","349.938882","(LEGO Mario_g_g)","(Galaxy Note10+)","18","Rcvd Handle Value Notification, Handle: 0x0012","060001020601"
"2401","350.149436","(LEGO Mario_g_g)","(Galaxy Note10+)","18","Rcvd Handle Value Notification, Handle: 0x0012","060001020600"
"2402","350.238936","(LEGO Mario_g_g)","(Galaxy Note10+)","18","Rcvd Handle Value Notification, Handle: 0x0012","060001060633"
"2403","350.568419","(LEGO Mario_g_g)","(Galaxy Note10+)","18","Rcvd Handle Value Notification, Handle: 0x0012","06000106062d"
"2409","351.228224","(LEGO Mario_g_g)","(Galaxy Note10+)","18","Rcvd Handle Value Notification, Handle: 0x0012","060001060632"
"2419","352.398024","(LEGO Mario_g_g)","(Galaxy Note10+)","18","Rcvd Handle Value Notification, Handle: 0x0012","060001060638"
"2433","353.388824","(LEGO Mario_g_g)","(Galaxy Note10+)","18","Rcvd Handle Value Notification, Handle: 0x0012","060001060633"
"2445","354.558963","(LEGO Mario_g_g)","(Galaxy Note10+)","18","Rcvd Handle Value Notification, Handle: 0x0012","060001060637"
"2479","357.528254","(LEGO Mario_g_g)","(Galaxy Note10+)","18","Rcvd Handle Value Notification, Handle: 0x0012","060001060632"
"2480","357.618920","(LEGO Mario_g_g)","(Galaxy Note10+)","16","Rcvd Handle Value Notification, Handle: 0x0012","04000230"
"2481","357.620388","(LEGO Mario_g_g)","(Galaxy Note10+)","16","Rcvd Handle Value Notification, Handle: 0x0012","04000231"
"2775","381.052733","(Galaxy Note10+)","(LEGO Mario_g_g)","17","Sent Write Command, Handle: 0x0012","0500030201"
"2776","381.104362","(Galaxy Note10+)","(LEGO Mario_g_g)","17","Sent Write Command, Handle: 0x0012","0500030203"
"2778","381.146546","(LEGO Mario_g_g)","(Galaxy Note10+)","18","Rcvd Handle Value Notification, Handle: 0x0012","060003020400"
"2779","381.156628","(Galaxy Note10+)","(LEGO Mario_g_g)","17","Sent Write Command, Handle: 0x0012","0500030401"
"2780","381.161655","(LEGO Mario_g_g)","(Galaxy Note10+)","27","Rcvd Handle Value Notification, Handle: 0x0012","0f0004000147000000035301000000"
"2781","381.176587","(LEGO Mario_g_g)","(Galaxy Note10+)","27","Rcvd Handle Value Notification, Handle: 0x0012","0f0004010149000000035301000000"
"2782","381.184013","(LEGO Mario_g_g)","(Galaxy Note10+)","27","Rcvd Handle Value Notification, Handle: 0x0012","0f000402014a000000035301000000"
"2783","381.199502","(LEGO Mario_g_g)","(Galaxy Note10+)","27","Rcvd Handle Value Notification, Handle: 0x0012","0f0004030146000000035301000000"
"2784","381.204970","(Galaxy Note10+)","(LEGO Mario_g_g)","17","Sent Write Command, Handle: 0x0012","0500030403"
"2786","381.214498","(LEGO Mario_g_g)","(Galaxy Note10+)","27","Rcvd Handle Value Notification, Handle: 0x0012","0f0004060114000100000000000353"
"2787","381.221349","(LEGO Mario_g_g)","(Galaxy Note10+)","27","Rcvd Handle Value Notification, Handle: 0x0012","0f0004040155000100000000000353"
"2788","381.236382","(LEGO Mario_g_g)","(Galaxy Note10+)","18","Rcvd Handle Value Notification, Handle: 0x0012","060003040400"
"2789","381.255131","(Galaxy Note10+)","(LEGO Mario_g_g)","17","Sent Write Command, Handle: 0x0012","0500030101"
"2790","381.305347","(Galaxy Note10+)","(LEGO Mario_g_g)","17","Sent Write Command, Handle: 0x0012","0500030103"
"2792","381.321189","(LEGO Mario_g_g)","(Galaxy Note10+)","18","Rcvd Handle Value Notification, Handle: 0x0012","060003010400"
"2793","381.355962","(Galaxy Note10+)","(LEGO Mario_g_g)","17","Sent Write Command, Handle: 0x0012","0500030301"
"2794","381.405323","(Galaxy Note10+)","(LEGO Mario_g_g)","17","Sent Write Command, Handle: 0x0012","0500030303"
"2796","381.416165","(LEGO Mario_g_g)","(Galaxy Note10+)","18","Rcvd Handle Value Notification, Handle: 0x0012","060003030400"
"2797","381.456866","(Galaxy Note10+)","(LEGO Mario_g_g)","17","Sent Write Command, Handle: 0x0012","0500010405"
"2798","381.468849","(LEGO Mario_g_g)","(Galaxy Note10+)","21","Rcvd Handle Value Notification, Handle: 0x0012","090001040600000004"
"2799","381.506124","(Galaxy Note10+)","(LEGO Mario_g_g)","17","Sent Write Command, Handle: 0x0012","0500010305"
"2801","381.520994","(LEGO Mario_g_g)","(Galaxy Note10+)","21","Rcvd Handle Value Notification, Handle: 0x0012","090001030600000353"
"2802","381.557853","(Galaxy Note10+)","(LEGO Mario_g_g)","17","Sent Write Command, Handle: 0x0012","0500010905"
"2803","381.573972","(LEGO Mario_g_g)","(Galaxy Note10+)","23","Rcvd Handle Value Notification, Handle: 0x0012","0b00010906312e322e3000"
"2804","381.608041","(Galaxy Note10+)","(LEGO Mario_g_g)","17","Sent Write Command, Handle: 0x0012","0500010805"
"2806","381.628953","(LEGO Mario_g_g)","(Galaxy Note10+)","32","Rcvd Handle Value Notification, Handle: 0x0012","14000108064c45474f2053797374656d20412f53"
"2807","381.658282","(Galaxy Note10+)","(LEGO Mario_g_g)","17","Sent Write Command, Handle: 0x0012","0500010705"
"2808","381.671772","(LEGO Mario_g_g)","(Galaxy Note10+)","18","Rcvd Handle Value Notification, Handle: 0x0012","060001070601"
"2809","381.707790","(Galaxy Note10+)","(LEGO Mario_g_g)","17","Sent Write Command, Handle: 0x0012","0500010a05"
"2811","381.724165","(LEGO Mario_g_g)","(Galaxy Note10+)","19","Rcvd Handle Value Notification, Handle: 0x0012","0700010a060003"
"2812","381.758861","(Galaxy Note10+)","(LEGO Mario_g_g)","17","Sent Write Command, Handle: 0x0012","0500010d05"
"2813","381.776760","(LEGO Mario_g_g)","(Galaxy Note10+)","23","Rcvd Handle Value Notification, Handle: 0x0012","0b00010d06249f89fb57b1"
"2814","381.810373","(Galaxy Note10+)","(LEGO Mario_g_g)","17","Sent Write Command, Handle: 0x0012","0500010202"
"2816","381.828853","(LEGO Mario_g_g)","(Galaxy Note10+)","18","Rcvd Handle Value Notification, Handle: 0x0012","060001020600"
"2817","381.861617","(Galaxy Note10+)","(LEGO Mario_g_g)","17","Sent Write Command, Handle: 0x0012","0500010205"
"2818","381.873738","(LEGO Mario_g_g)","(Galaxy Note10+)","18","Rcvd Handle Value Notification, Handle: 0x0012","060001020600"
"2819","381.911541","(Galaxy Note10+)","(LEGO Mario_g_g)","17","Sent Write Command, Handle: 0x0012","0500010502"
"2821","381.926876","(LEGO Mario_g_g)","(Galaxy Note10+)","18","Rcvd Handle Value Notification, Handle: 0x0012","060001050600"
"2822","381.961749","(Galaxy Note10+)","(LEGO Mario_g_g)","17","Sent Write Command, Handle: 0x0012","0500010505"
"2823","381.978975","(LEGO Mario_g_g)","(Galaxy Note10+)","18","Rcvd Handle Value Notification, Handle: 0x0012","060001050600"
"2824","382.014617","(Galaxy Note10+)","(LEGO Mario_g_g)","17","Sent Write Command, Handle: 0x0012","0500010602"
"2826","382.031758","(LEGO Mario_g_g)","(Galaxy Note10+)","18","Rcvd Handle Value Notification, Handle: 0x0012","060001060636"
"2827","382.063957","(Galaxy Note10+)","(LEGO Mario_g_g)","17","Sent Write Command, Handle: 0x0012","0500010605"
"2828","382.076372","(LEGO Mario_g_g)","(Galaxy Note10+)","18","Rcvd Handle Value Notification, Handle: 0x0012","060001060636"
"2829","382.114149","(Galaxy Note10+)","(LEGO Mario_g_g)","17","Sent Write Command, Handle: 0x0012","0500010102"
"2831","382.136585","(LEGO Mario_g_g)","(Galaxy Note10+)","31","Rcvd Handle Value Notification, Handle: 0x0012","13000101064c45474f204d6172696f5f675f67"
"2832","382.164882","(Galaxy Note10+)","(LEGO Mario_g_g)","17","Sent Write Command, Handle: 0x0012","0500010105"
"2833","382.189265","(LEGO Mario_g_g)","(Galaxy Note10+)","31","Rcvd Handle Value Notification, Handle: 0x0012","13000101064c45474f204d6172696f5f675f67"
"2834","382.212567","(Galaxy Note10+)","(LEGO Mario_g_g)","22","Sent Write Command, Handle: 0x0012","0a004104000100000001"
"2836","382.226032","(LEGO Mario_g_g)","(Galaxy Note10+)","22","Rcvd Handle Value Notification, Handle: 0x0012","0a004704000100000001"
"2837","383.867735","(Galaxy Note10+)","(LEGO Mario_g_g)","22","Sent Write Command, Handle: 0x0012","0a004103010100000001"
"2838","383.883874","(LEGO Mario_g_g)","(Galaxy Note10+)","22","Rcvd Handle Value Notification, Handle: 0x0012","0a004703010100000001"
"2839","383.892345","(LEGO Mario_g_g)","(Galaxy Note10+)","32","Rcvd Handle Value Notification, Handle: 0x0012","14004503d2000053d2000053d20000531c001c00"
"2840","383.917626","(Galaxy Note10+)","(LEGO Mario_g_g)","17","Sent Write Command, Handle: 0x0012","0500210300"
"2842","383.929029","(LEGO Mario_g_g)","(Galaxy Note10+)","32","Rcvd Handle Value Notification, Handle: 0x0012","14004503d2000053d2000053d20000531c001c00"
"2843","383.969107","(Galaxy Note10+)","(LEGO Mario_g_g)","22","Sent Write Command, Handle: 0x0012","0a004103020100000001"
"2844","383.981510","(LEGO Mario_g_g)","(Galaxy Note10+)","22","Rcvd Handle Value Notification, Handle: 0x0012","0a004703020100000001"
"2845","383.988440","(LEGO Mario_g_g)","(Galaxy Note10+)","20","Rcvd Handle Value Notification, Handle: 0x0012","0800450300000000"
"2846","384.019631","(Galaxy Note10+)","(LEGO Mario_g_g)","21","Sent Write Command, Handle: 0x0012","0900810311510201f0"
"2848","384.035062","(LEGO Mario_g_g)","(Galaxy Note10+)","17","Rcvd Handle Value Notification, Handle: 0x0012","050082030a"
"2849","384.041127","(LEGO Mario_g_g)","(Galaxy Note10+)","20","Rcvd Handle Value Notification, Handle: 0x0012","0800450301400000"
"2850","384.049608","(LEGO Mario_g_g)","(Galaxy Note10+)","20","Rcvd Handle Value Notification, Handle: 0x0012","0800450302400000"
"2851","384.086165","(LEGO Mario_g_g)","(Galaxy Note10+)","20","Rcvd Handle Value Notification, Handle: 0x0012","0800450301300000"
"2852","384.131556","(LEGO Mario_g_g)","(Galaxy Note10+)","20","Rcvd Handle Value Notification, Handle: 0x0012","0800450301190000"
"2853","384.169003","(LEGO Mario_g_g)","(Galaxy Note10+)","20","Rcvd Handle Value Notification, Handle: 0x0012","0800450302190000"
"2854","384.216928","(LEGO Mario_g_g)","(Galaxy Note10+)","20","Rcvd Handle Value Notification, Handle: 0x0012","0800450310190100"
"2855","384.251590","(LEGO Mario_g_g)","(Galaxy Note10+)","20","Rcvd Handle Value Notification, Handle: 0x0012","0800450311190500"
"2856","384.264937","(Galaxy Note10+)","(LEGO Mario_g_g)","22","Sent Write Command, Handle: 0x0012","0a004104000100000001"
"2857","384.281719","(LEGO Mario_g_g)","(Galaxy Note10+)","22","Rcvd Handle Value Notification, Handle: 0x0012","0a004704000100000001"
"2858","384.296539","(LEGO Mario_g_g)","(Galaxy Note10+)","20","Rcvd Handle Value Notification, Handle: 0x0012","0800450315010600"
"2859","384.316878","(Galaxy Note10+)","(LEGO Mario_g_g)","23","Sent Write Command, Handle: 0x0012","0b0081041151000500fe00"
"2861","384.333834","(LEGO Mario_g_g)","(Galaxy Note10+)","17","Rcvd Handle Value Notification, Handle: 0x0012","050082040a"
"2862","384.341331","(LEGO Mario_g_g)","(Galaxy Note10+)","20","Rcvd Handle Value Notification, Handle: 0x0012","080045040100fe00"
"2863","384.356427","(LEGO Mario_g_g)","(Galaxy Note10+)","20","Rcvd Handle Value Notification, Handle: 0x0012","0800450380010000"
"2864","384.365421","(Galaxy Note10+)","(LEGO Mario_g_g)","23","Sent Write Command, Handle: 0x0012","0b00810411510009000000"
"2865","384.378960","(LEGO Mario_g_g)","(Galaxy Note10+)","17","Rcvd Handle Value Notification, Handle: 0x0012","050082040a"
"2866","384.386791","(LEGO Mario_g_g)","(Galaxy Note10+)","20","Rcvd Handle Value Notification, Handle: 0x0012","0800450301180000"
"2867","384.401755","(LEGO Mario_g_g)","(Galaxy Note10+)","20","Rcvd Handle Value Notification, Handle: 0x0012","080045040b00ffff"
"2868","384.415618","(Galaxy Note10+)","(LEGO Mario_g_g)","23","Sent Write Command, Handle: 0x0012","0b0081041151000a00a736"
"2870","384.433292","(LEGO Mario_g_g)","(Galaxy Note10+)","17","Rcvd Handle Value Notification, Handle: 0x0012","050082040a"
"2871","384.439035","(LEGO Mario_g_g)","(Galaxy Note10+)","20","Rcvd Handle Value Notification, Handle: 0x0012","080045040b00a736"
"2872","384.464831","(Galaxy Note10+)","(LEGO Mario_g_g)","21","Sent Write Command, Handle: 0x0012","0900810311510201f0"
"2873","384.476556","(LEGO Mario_g_g)","(Galaxy Note10+)","17","Rcvd Handle Value Notification, Handle: 0x0012","050082030a"
"2874","384.484166","(LEGO Mario_g_g)","(Galaxy Note10+)","20","Rcvd Handle Value Notification, Handle: 0x0012","0800450301400000"
"2875","384.498979","(LEGO Mario_g_g)","(Galaxy Note10+)","20","Rcvd Handle Value Notification, Handle: 0x0012","0800450302400000"
"2876","384.544176","(LEGO Mario_g_g)","(Galaxy Note10+)","20","Rcvd Handle Value Notification, Handle: 0x0012","0800450301300000"
"2877","384.581163","(LEGO Mario_g_g)","(Galaxy Note10+)","20","Rcvd Handle Value Notification, Handle: 0x0012","0800450301190000"
"2878","384.625918","(LEGO Mario_g_g)","(Galaxy Note10+)","20","Rcvd Handle Value Notification, Handle: 0x0012","0800450302190000"
"2880","384.678499","(LEGO Mario_g_g)","(Galaxy Note10+)","20","Rcvd Handle Value Notification, Handle: 0x0012","0800450310190000"
"2881","384.708557","(LEGO Mario_g_g)","(Galaxy Note10+)","20","Rcvd Handle Value Notification, Handle: 0x0012","0800450311190000"
"2882","384.720388","(Galaxy Note10+)","(LEGO Mario_g_g)","17","Sent Write Command, Handle: 0x0012","0500011205"
"2883","384.731476","(LEGO Mario_g_g)","(Galaxy Note10+)","18","Rcvd Handle Value Notification, Handle: 0x0012","060001120664"
"2884","384.754599","(LEGO Mario_g_g)","(Galaxy Note10+)","20","Rcvd Handle Value Notification, Handle: 0x0012","0800450315010600"
"2885","384.790951","(LEGO Mario_g_g)","(Galaxy Note10+)","20","Rcvd Handle Value Notification, Handle: 0x0012","0800450301180000"
"2891","386.292991","(LEGO Mario_g_g)","(Galaxy Note10+)","18","Rcvd Handle Value Notification, Handle: 0x0012","0600010506ce"
"2892","388.420955","(LEGO Mario_g_g)","(Galaxy Note10+)","18","Rcvd Handle Value Notification, Handle: 0x0012","0600010506cd"
"2893","392.621177","(LEGO Mario_g_g)","(Galaxy Note10+)","18","Rcvd Handle Value Notification, Handle: 0x0012","0600010506ce"
"2894","392.801184","(LEGO Mario_g_g)","(Galaxy Note10+)","20","Rcvd Handle Value Notification, Handle: 0x0012","0800450313011400"
"2895","392.802278","(LEGO Mario_g_g)","(Galaxy Note10+)","20","Rcvd Handle Value Notification, Handle: 0x0012","0800450362380000"
"2896","392.861550","(LEGO Mario_g_g)","(Galaxy Note10+)","20","Rcvd Handle Value Notification, Handle: 0x0012","0800450303380000"
"2897","394.031536","(LEGO Mario_g_g)","(Galaxy Note10+)","20","Rcvd Handle Value Notification, Handle: 0x0012","0800450362380000"
"2898","394.752032","(LEGO Mario_g_g)","(Galaxy Note10+)","18","Rcvd Handle Value Notification, Handle: 0x0012","0600010506d1"
"2899","394.841396","(LEGO Mario_g_g)","(Galaxy Note10+)","20","Rcvd Handle Value Notification, Handle: 0x0012","0800450303386400"
"2900","395.412012","(LEGO Mario_g_g)","(Galaxy Note10+)","18","Rcvd Handle Value Notification, Handle: 0x0012","060001060631"
"2901","396.251920","(LEGO Mario_g_g)","(Galaxy Note10+)","18","Rcvd Handle Value Notification, Handle: 0x0012","060001060636"
"2902","398.411363","(LEGO Mario_g_g)","(Galaxy Note10+)","20","Rcvd Handle Value Notification, Handle: 0x0012","080045031301b800"
"2903","398.441793","(LEGO Mario_g_g)","(Galaxy Note10+)","20","Rcvd Handle Value Notification, Handle: 0x0012","0800450362380000"
"2904","398.471692","(LEGO Mario_g_g)","(Galaxy Note10+)","20","Rcvd Handle Value Notification, Handle: 0x0012","0800450303386400"
"2905","398.531704","(LEGO Mario_g_g)","(Galaxy Note10+)","20","Rcvd Handle Value Notification, Handle: 0x0012","0800450352380000"
"2906","398.621336","(LEGO Mario_g_g)","(Galaxy Note10+)","20","Rcvd Handle Value Notification, Handle: 0x0012","0800450303386400"
"2907","398.651406","(LEGO Mario_g_g)","(Galaxy Note10+)","20","Rcvd Handle Value Notification, Handle: 0x0012","080045036e380000"
"2908","398.681276","(LEGO Mario_g_g)","(Galaxy Note10+)","20","Rcvd Handle Value Notification, Handle: 0x0012","0800450303386400"
"2909","398.741610","(LEGO Mario_g_g)","(Galaxy Note10+)","20","Rcvd Handle Value Notification, Handle: 0x0012","0800450362380000"
"2910","398.771227","(LEGO Mario_g_g)","(Galaxy Note10+)","20","Rcvd Handle Value Notification, Handle: 0x0012","0800450352380000"
"2911","398.951220","(LEGO Mario_g_g)","(Galaxy Note10+)","20","Rcvd Handle Value Notification, Handle: 0x0012","0800450301180100"
"2912","398.952328","(LEGO Mario_g_g)","(Galaxy Note10+)","18","Rcvd Handle Value Notification, Handle: 0x0012","0600010506ca"
"2913","398.981670","(LEGO Mario_g_g)","(Galaxy Note10+)","20","Rcvd Handle Value Notification, Handle: 0x0012","0800450303180100"
"2914","400.031315","(LEGO Mario_g_g)","(Galaxy Note10+)","18","Rcvd Handle Value Notification, Handle: 0x0012","060001060631"
"2915","400.541444","(LEGO Mario_g_g)","(Galaxy Note10+)","18","Rcvd Handle Value Notification, Handle: 0x0012","06000106062c"
"2916","401.081635","(LEGO Mario_g_g)","(Galaxy Note10+)","18","Rcvd Handle Value Notification, Handle: 0x0012","0600010506c7"
"2917","401.381763","(LEGO Mario_g_g)","(Galaxy Note10+)","18","Rcvd Handle Value Notification, Handle: 0x0012","060001060632"
"2918","402.881649","(LEGO Mario_g_g)","(Galaxy Note10+)","20","Rcvd Handle Value Notification, Handle: 0x0012","0800450313012900"
"2919","402.882103","(LEGO Mario_g_g)","(Galaxy Note10+)","20","Rcvd Handle Value Notification, Handle: 0x0012","080045036d380000"
"2920","403.181533","(LEGO Mario_g_g)","(Galaxy Note10+)","18","Rcvd Handle Value Notification, Handle: 0x0012","0600010506c3"
"2921","403.511599","(LEGO Mario_g_g)","(Galaxy Note10+)","20","Rcvd Handle Value Notification, Handle: 0x0012","0800450313012900"
"2922","405.161468","(LEGO Mario_g_g)","(Galaxy Note10+)","18","Rcvd Handle Value Notification, Handle: 0x0012","06000106062e"
"2923","405.282023","(LEGO Mario_g_g)","(Galaxy Note10+)","18","Rcvd Handle Value Notification, Handle: 0x0012","0600010506c4"
"2924","405.821771","(LEGO Mario_g_g)","(Galaxy Note10+)","18","Rcvd Handle Value Notification, Handle: 0x0012","060001060632"
"2925","406.481696","(LEGO Mario_g_g)","(Galaxy Note10+)","20","Rcvd Handle Value Notification, Handle: 0x0012","0800450313011400"
"2926","406.512162","(LEGO Mario_g_g)","(Galaxy Note10+)","18","Rcvd Handle Value Notification, Handle: 0x0012","06000106062e"
"2927","406.541984","(LEGO Mario_g_g)","(Galaxy Note10+)","20","Rcvd Handle Value Notification, Handle: 0x0012","0800450303380000"
"2928","406.901427","(LEGO Mario_g_g)","(Galaxy Note10+)","20","Rcvd Handle Value Notification, Handle: 0x0012","0800450380200a00"
"2929","406.902140","(LEGO Mario_g_g)","(Galaxy Note10+)","20","Rcvd Handle Value Notification, Handle: 0x0012","080045036a380500"
"2930","406.961794","(LEGO Mario_g_g)","(Galaxy Note10+)","20","Rcvd Handle Value Notification, Handle: 0x0012","0800450304400500"
"2931","407.321630","(LEGO Mario_g_g)","(Galaxy Note10+)","18","Rcvd Handle Value Notification, Handle: 0x0012","060001060626"
"2932","407.351944","(LEGO Mario_g_g)","(Galaxy Note10+)","18","Rcvd Handle Value Notification, Handle: 0x0012","0600010506c1"
"2933","407.831719","(LEGO Mario_g_g)","(Galaxy Note10+)","18","Rcvd Handle Value Notification, Handle: 0x0012","06000106062c"
"2934","408.731516","(LEGO Mario_g_g)","(Galaxy Note10+)","20","Rcvd Handle Value Notification, Handle: 0x0012","0800450303386400"
"2935","409.152203","(LEGO Mario_g_g)","(Galaxy Note10+)","18","Rcvd Handle Value Notification, Handle: 0x0012","060001060631"
"2936","409.481619","(LEGO Mario_g_g)","(Galaxy Note10+)","18","Rcvd Handle Value Notification, Handle: 0x0012","0600010506c4"
"2937","411.553298","(LEGO Mario_g_g)","(Galaxy Note10+)","18","Rcvd Handle Value Notification, Handle: 0x0012","0600010506c5"
"2938","411.642028","(LEGO Mario_g_g)","(Galaxy Note10+)","18","Rcvd Handle Value Notification, Handle: 0x0012","060001060635"
"2939","412.091838","(LEGO Mario_g_g)","(Galaxy Note10+)","20","Rcvd Handle Value Notification, Handle: 0x0012","0800450313010d00"
"2940","412.452261","(LEGO Mario_g_g)","(Galaxy Note10+)","18","Rcvd Handle Value Notification, Handle: 0x0012","060001060630"
"2941","413.651658","(LEGO Mario_g_g)","(Galaxy Note10+)","20","Rcvd Handle Value Notification, Handle: 0x0012","080045035e200300"
"2942","413.652122","(LEGO Mario_g_g)","(Galaxy Note10+)","18","Rcvd Handle Value Notification, Handle: 0x0012","0600010506ba"
"2943","413.801953","(LEGO Mario_g_g)","(Galaxy Note10+)","20","Rcvd Handle Value Notification, Handle: 0x0012","0800450313010d00"
"2944","415.751772","(LEGO Mario_g_g)","(Galaxy Note10+)","18","Rcvd Handle Value Notification, Handle: 0x0012","0600010506bc"
"2945","415.901831","(LEGO Mario_g_g)","(Galaxy Note10+)","20","Rcvd Handle Value Notification, Handle: 0x0012","080045035e200400"
