"No.","Time","Source","Destination","Length","Info","Value"
"979","171.344765","(LEGO Mario_g_g)","(Galaxy Note10+)","23","Rcvd Handle Value Notification, Handle: 0x0012","0b00430401030101000100"
"980","171.385254","(Galaxy Note10+)","(LEGO Mario_g_g)","17","Sent Write Command, Handle: 0x0012","0500210002"
"982","171.398130","(LEGO Mario_g_g)","(Galaxy Note10+)","19","Rcvd Handle Value Notification, Handle: 0x0012","07004300020300"
"983","171.434389","(Galaxy Note10+)","(LEGO Mario_g_g)","18","Sent Write Command, Handle: 0x0012","060022000000"
"984","171.450999","(LEGO Mario_g_g)","(Galaxy Note10+)","29","Rcvd Handle Value Notification, Handle: 0x0012","1100440000005241570000000000000000"
"985","171.485335","(Galaxy Note10+)","(LEGO Mario_g_g)","18","Sent Write Command, Handle: 0x0012","060022000001"
"987","171.502782","(LEGO Mario_g_g)","(Galaxy Note10+)","26","Rcvd Handle Value Notification, Handle: 0x0012","0e0044000001000000000000c842"
"988","171.536073","(Galaxy Note10+)","(LEGO Mario_g_g)","18","Sent Write Command, Handle: 0x0012","060022000002"
"989","171.548166","(LEGO Mario_g_g)","(Galaxy Note10+)","26","Rcvd Handle Value Notification, Handle: 0x0012","0e0044000002000000000000c842"
"990","171.586180","(Galaxy Note10+)","(LEGO Mario_g_g)","18","Sent Write Command, Handle: 0x0012","060022000003"
"992","171.600121","(LEGO Mario_g_g)","(Galaxy Note10+)","26","Rcvd Handle Value Notification, Handle: 0x0012","0e0044000003000000000000c842"
"993","171.637117","(Galaxy Note10+)","(LEGO Mario_g_g)","18","Sent Write Command, Handle: 0x0012","060022000004"
"994","171.652625","(LEGO Mario_g_g)","(Galaxy Note10+)","22","Rcvd Handle Value Notification, Handle: 0x0012","0a0044000004636e7400"
"995","171.686848","(Galaxy Note10+)","(LEGO Mario_g_g)","18","Sent Write Command, Handle: 0x0012","060022000005"
"997","171.705142","(LEGO Mario_g_g)","(Galaxy Note10+)","20","Rcvd Handle Value Notification, Handle: 0x0012","0800440000058400"
"998","171.737784","(Galaxy Note10+)","(LEGO Mario_g_g)","18","Sent Write Command, Handle: 0x0012","060022000080"
"999","171.750117","(LEGO Mario_g_g)","(Galaxy Note10+)","22","Rcvd Handle Value Notification, Handle: 0x0012","0a004400008003000300"
"1000","171.787360","(Galaxy Note10+)","(LEGO Mario_g_g)","18","Sent Write Command, Handle: 0x0012","060022000100"
"1002","171.802628","(LEGO Mario_g_g)","(Galaxy Note10+)","29","Rcvd Handle Value Notification, Handle: 0x0012","1100440001004745535400000000000000"
"1003","171.837140","(Galaxy Note10+)","(LEGO Mario_g_g)","18","Sent Write Command, Handle: 0x0012","060022000101"
"1004","171.854993","(LEGO Mario_g_g)","(Galaxy Note10+)","26","Rcvd Handle Value Notification, Handle: 0x0012","0e0044000101000000000000c842"
"1005","171.887612","(Galaxy Note10+)","(LEGO Mario_g_g)","18","Sent Write Command, Handle: 0x0012","060022000102"
"1007","171.900156","(LEGO Mario_g_g)","(Galaxy Note10+)","26","Rcvd Handle Value Notification, Handle: 0x0012","0e0044000102000000000000c842"
"1008","171.938552","(Galaxy Note10+)","(LEGO Mario_g_g)","18","Sent Write Command, Handle: 0x0012","060022000103"
"1009","171.952454","(LEGO Mario_g_g)","(Galaxy Note10+)","26","Rcvd Handle Value Notification, Handle: 0x0012","0e0044000103000000000000c842"
"1010","171.990082","(Galaxy Note10+)","(LEGO Mario_g_g)","18","Sent Write Command, Handle: 0x0012","060022000104"
"1012","172.005524","(LEGO Mario_g_g)","(Galaxy Note10+)","22","Rcvd Handle Value Notification, Handle: 0x0012","0a0044000104636e7400"
"1013","172.040260","(Galaxy Note10+)","(LEGO Mario_g_g)","18","Sent Write Command, Handle: 0x0012","060022000105"
"1014","172.057623","(LEGO Mario_g_g)","(Galaxy Note10+)","20","Rcvd Handle Value Notification, Handle: 0x0012","0800440001058400"
"1015","172.089704","(Galaxy Note10+)","(LEGO Mario_g_g)","18","Sent Write Command, Handle: 0x0012","060022000180"
"1017","172.102980","(LEGO Mario_g_g)","(Galaxy Note10+)","22","Rcvd Handle Value Notification, Handle: 0x0012","0a004400018002010300"
"1018","172.140453","(Galaxy Note10+)","(LEGO Mario_g_g)","17","Sent Write Command, Handle: 0x0012","0500210102"
"1019","172.157193","(LEGO Mario_g_g)","(Galaxy Note10+)","19","Rcvd Handle Value Notification, Handle: 0x0012","07004301020300"
"1020","172.189705","(Galaxy Note10+)","(LEGO Mario_g_g)","18","Sent Write Command, Handle: 0x0012","060022010000"
"1022","172.209007","(LEGO Mario_g_g)","(Galaxy Note10+)","29","Rcvd Handle Value Notification, Handle: 0x0012","1100440100005441470000000000000000"
